CODE,PROJECT,SLOT_SIZE,VISIBILITY,PROJECT_DETAILS,REPOSITORY,TOP,SHA256,LAYOUT
MOLE,FABulous FPGA,1x1,Private,"An open source FPGA generated using the FABulous eFPGA framework that can be programmed using Yosys and nextpnr. It can be configured via an active or passive SPI interface. In active mode, the bitstream is read from an external SPI flash from one of 16 slots. Specs: 48x I/Os, 480x LUT4, 6x SRAM 512x8, 6x MAC, 12x Register file ",https://github.com/mole99/gf180mcu-fabulous-fpga,chip_top,4977aef59406d18f00394491e972f0c9d5d1a61b761d3463fc125c5bf992a583,MOLE/chip_top.oas
TQVA,TinyQV - Crowdsourced Risc-V SoC,0p5x0p5,Public,A Risc-V RV32EC SoC with peripherals from the Tiny Tapeout Risc-V competition. This version uses a quarter sized slot. ,https://github.com/MichaelBell/ws01-tinyQV,chip_top,78d334bbe405cfb855cd2e755cd1cd70e1557243c674ba12e41b5e672013746c,TQVA/chip_top.oas
TQVB,TinyQV - Crowdsourced Risc-V SoC (0.5x1),0p5x1,Public,A Risc-V RV32EC SoC with peripherals from the Tiny Tapeout Risc-V competition. This version uses a half width slot (but is otherwise identical to the quarter size version) ,https://github.com/MichaelBell/ws01-tinyQV,chip_top,cc8ca9305deaa5c3587dfe87ab74268240684ded0ff4aaa88f7b87e86e67fee3,TQVB/chip_top.oas
TQVC,TinyQV - Crowdsourced Risc-V SoC (1x0.5),1x0p5,Public,A Risc-V RV32EC SoC with peripherals from the Tiny Tapeout Risc-V competition. This version uses a half height slot (but is otherwise identical to the quarter size version) ,https://github.com/MichaelBell/ws01-tinyQV,chip_top,087f616bc18cf61a208a074eeccd8178d70d96ad8991875957926d7264a04296,TQVC/chip_top.oas
